	#	$	''	(	)	,	.	:	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
Rockwell	-18.578558	-12.255836	-16.308002	-8.327402	-7.311033	-13.923062	-22.379927	-15.428761	-13.226924	-17.877508	-10.392830	-15.391239	-13.170174	-12.287685	3.470705	-4.586502	-5.311102	-6.913094	4.304645	8.133817	0.856530	-1.111779	-13.839908	-18.731161	-12.708540	-14.250316	3.044527	-8.028622	-15.558618	-14.475253	-13.845627	-16.073626	-12.904724	-0.201218	-4.208268	-1.069257	-3.616507	-4.421041	-7.194856	-16.187538	-21.703815	-21.165186	-18.904270	-14.417214
International	-18.362455	-13.014658	-19.216606	-10.093558	-11.094161	-15.153546	-20.466684	-19.014475	-13.362522	-12.935680	-12.199482	-19.675793	-14.653615	-4.274059	6.314559	-5.367814	-8.949960	-8.466967	4.303411	8.179276	-2.211508	-0.508794	-15.108369	-25.343552	-16.086546	-13.618857	0.307029	-10.816700	-22.849024	-16.775345	-14.833671	-21.138823	-15.346910	-0.835462	-7.316515	-4.016180	-6.246505	-5.006924	-9.441806	-11.713558	-18.181742	-24.959158	-16.312639	-16.473120
Corp.	-20.578245	-14.185706	-15.754391	-6.400193	-5.443668	-10.150328	-14.676979	-7.339923	-8.029662	-12.807082	-15.366805	-17.899393	-17.296755	-13.188763	0.846344	-6.200046	-12.479177	-11.454377	0.864033	10.234179	-0.553173	-1.631049	-21.278231	-18.739252	-16.922976	-12.624039	-2.539262	-10.982953	-25.181927	-17.656820	-16.964617	-17.729755	-16.470814	-3.249137	-7.522157	-6.517618	-6.828131	-9.852345	-8.119208	-20.046638	-15.815385	-22.566477	-11.134422	-15.049391
's	-6.476156	-4.831952	-2.613943	-3.203316	-2.741053	-7.398675	-7.076486	-5.527689	-8.056317	-14.053363	-9.193522	-13.655941	-5.766042	-3.679708	-1.975403	-6.327087	-7.192262	-3.880865	-1.351349	0.340445	-0.486252	3.389644	-14.110942	9.290623	-2.486895	-4.800724	-0.507859	-7.577024	-7.355135	-11.315379	-7.631207	-10.549873	-7.337454	-4.516353	-4.378013	-7.990664	-7.769899	-2.222041	6.211274	-8.933887	-9.666680	-10.090362	-9.391155	-6.319464
Tulsa	-14.887880	-6.132906	-11.019518	-6.901752	-8.298500	-11.987972	-10.771469	-17.197905	-5.017918	-13.853019	-2.309458	-7.772319	-14.063428	-4.935149	0.453329	-5.558644	-9.339844	-6.525558	-0.376554	5.067785	-1.772068	-1.556800	-16.035351	-8.520626	-9.006050	-10.643179	0.101144	-9.495582	-14.926911	-16.907675	-14.938921	-12.825706	-8.078642	-3.109275	-5.410517	-8.519449	-6.194722	-5.519236	-4.089290	-13.099733	-10.461596	-16.348856	-11.691321	-18.498770
unit	-6.444763	-11.493209	-14.562608	-11.659263	-11.589395	-10.503369	-14.067975	-15.206588	-5.485787	-4.014964	-5.044178	-13.320249	-4.542132	-0.643587	3.517057	-9.208200	-8.978143	-6.130003	5.697541	1.073584	-5.885323	-0.471098	-7.172182	-15.020508	-0.764535	-9.587802	-0.542294	-9.478273	-9.875141	-6.628731	-7.944778	-11.059264	-11.996862	2.781912	-2.841647	-0.977892	-2.531883	-0.656632	-6.248700	-6.647252	-12.152503	-10.387225	-9.068601	-10.934362
said	-9.043384	-10.154954	-9.851665	-6.560730	-8.208152	-9.076818	-6.584509	-7.431395	-7.487142	-9.348319	-11.626649	-10.647621	-4.042674	-6.233310	1.426522	-3.431686	-7.198516	-1.445091	2.211216	0.111146	-4.980559	-1.277014	-12.050804	-5.008530	-7.512573	-17.295723	-2.089303	-6.250458	-7.902590	-4.883924	-8.405609	-10.997054	-10.775450	1.556978	7.807386	-3.760723	2.284186	1.045407	-1.332561	-12.721431	-7.007277	-4.641470	-8.691527	-8.685743
it	-7.097120	-9.856272	-12.958389	-11.649562	-8.318230	-9.382191	-10.304633	-11.258405	-3.956920	-5.071591	-9.661233	-12.707683	-5.153875	-1.292455	3.237130	-7.834685	-8.037954	-8.903747	3.589823	1.250173	-4.673312	-0.880047	-10.040655	-13.253699	9.549953	2.404945	0.341688	-10.443977	-7.499359	-3.935755	-6.738312	-15.780735	-10.059114	1.826897	-1.612886	-2.365502	-1.345476	-1.610553	-6.143634	-8.909584	-12.287626	-11.452597	-9.212464	-13.850581
signed	-13.860476	-10.145209	-8.738697	-8.610025	-8.932542	-8.912803	-7.634891	-6.990661	-12.984770	-0.611617	-14.394701	-13.675655	-7.121242	-6.525079	4.726453	-3.842054	-11.068393	-4.273876	0.611600	0.714848	-6.043403	-2.676709	-14.441652	-13.871843	-9.620879	-20.395376	-1.526005	-10.401685	-18.802469	-9.193861	-10.020393	-17.637197	-11.403068	0.083948	6.205501	-5.426665	5.720317	-1.801533	-5.772840	-15.822525	-16.413607	-6.297058	-8.646403	-9.291230
a	-1.205680	-9.002545	-10.702272	-11.229156	-10.823771	-8.937304	-10.515593	-13.645907	-1.645857	-9.278972	12.246640	-9.009906	-5.652887	2.672245	-1.571971	-10.909850	-12.954072	-6.215726	1.507187	-0.693504	-6.269465	-0.564560	-4.785968	-11.204214	-4.130784	-6.914642	-1.118485	-15.689792	-14.496052	-8.513957	-8.806356	-11.068073	-7.763930	-0.912727	-4.264416	-6.396126	-4.760911	-1.394363	-2.572786	-1.151891	-4.120239	-11.675632	-11.631660	-13.716766
tentative	-12.911081	-10.227602	-14.108727	-10.485017	-9.029002	-9.377238	-10.807613	-10.371702	-13.853277	-2.292368	-6.984678	-9.872599	-7.406801	-6.838285	6.797140	-7.825233	-7.652937	-14.935184	4.283484	1.689759	-5.096595	0.831324	-15.205303	-13.865740	-7.147951	-10.834431	-0.812907	-11.219770	-15.084340	-13.020104	-9.160398	-12.069429	-13.446096	2.647203	-1.984167	-3.791173	-1.303462	0.126231	-5.488581	-7.907073	-19.053164	-10.113063	-9.989172	-10.834276
agreement	-12.380342	-16.400154	-15.676968	-12.448504	-12.987056	-14.735869	-18.130926	-16.640116	-10.904690	-10.793778	-10.118041	-12.394463	-5.662816	-6.623377	4.714542	-8.084100	-4.957693	-12.024591	6.222604	2.409808	-4.928516	0.552259	-13.705407	-15.706508	-13.113051	-22.168427	1.609427	-11.358924	-14.881820	-8.553189	-12.586070	-20.463552	-12.440661	1.822282	-0.531895	-0.266984	-0.132684	1.330875	-3.980769	-11.744643	-17.534016	-14.667416	-9.248886	-14.192142
