	#	$	''	(	)	,	.	:	CC	CD	DT	EX	FW	IN	JJ	JJR	JJS	MD	NN	NNP	NNPS	NNS	PDT	POS	PRP	PRP$	RB	RBR	RBS	RP	SYM	TO	UH	VB	VBD	VBG	VBN	VBP	VBZ	WDT	WP	WP$	WRB	``
Rockwell	-24.350191	-6.018753	-25.820358	-17.203287	-12.311653	-25.316048	-13.449131	-14.284880	-32.465172	-25.935892	-23.483179	-28.427713	-16.758888	-25.524834	1.156717	-17.896498	-15.620619	-15.719490	-0.981920	12.118427	-4.795637	-10.147130	-24.578503	-30.126511	-16.468731	-21.786678	4.204135	-20.360441	-35.716557	-24.803991	-16.249920	-21.635979	-2.242426	-4.631277	-8.680126	-23.405794	-10.792198	-6.787862	-22.622072	-35.978893	-24.761221	-35.282654	-18.459869	-17.457071
International	-26.584398	-26.130331	-31.133436	-20.671852	-20.579037	-27.680655	-26.709681	-22.831715	-21.131660	-27.325504	-10.584289	-31.131676	-21.071497	-12.375486	6.685318	-17.268866	-25.667797	-25.110830	5.323212	11.736968	-14.897870	-6.673137	-22.631239	-34.591999	-25.168339	-30.984991	-6.214223	-25.841221	-35.515877	-29.039276	-23.777517	-22.485790	-27.731396	-0.140196	-14.141685	-21.557878	-14.867359	-4.550479	-20.769672	-21.923677	-17.544800	-26.648111	-31.679659	-26.070751
Corp.	-28.798931	-18.510735	-35.498772	-27.216682	-18.212032	-38.605297	-11.766089	-15.643976	-8.576817	-21.057566	-23.631435	-41.580914	-8.190422	-12.853456	-1.826540	-19.383663	-31.216162	-27.079039	0.232700	10.661328	-3.104960	-2.676103	-32.774506	-26.476171	-14.972481	-14.280972	-10.023411	-19.895752	-52.972794	-28.113020	-17.496965	-27.247654	-23.873499	-5.248430	-20.972906	-18.959841	-14.724334	-13.010816	-10.138817	-29.985514	-29.273277	-38.711418	-40.832664	-21.913155
's	-14.070253	-7.124719	-6.999655	-9.492486	-8.941228	-11.222941	-8.460196	-6.697566	-5.298377	-9.341853	-4.728665	-10.775110	-3.700737	-0.007005	-4.153900	-7.243307	-16.450254	-7.892354	-3.984985	-0.396812	-5.439847	-0.121188	-12.157416	8.770144	-3.026573	-3.291072	-1.708415	-4.515204	-10.142196	-9.069448	-12.032269	-9.113636	-4.004191	-2.888949	-5.641770	-18.283880	-7.158287	-4.378941	5.968819	-6.542079	-11.027477	-9.319167	-10.181036	-9.880876
Tulsa	-24.218786	-12.994881	-27.286196	-15.833963	-14.397849	-25.185360	-22.888262	-23.889637	-24.007702	-17.596123	-11.007557	-27.364597	-22.193634	-13.172611	-0.011367	-22.024401	-16.296579	-13.412071	-1.048686	11.750664	-1.346600	-3.116285	-19.934616	-25.494175	-19.653236	-17.969465	-6.192911	-26.959303	-27.097219	-25.650642	-22.745319	-12.926497	-11.024767	-7.899072	-8.761055	-16.577824	-12.527766	-12.647585	-15.986681	-24.988611	-22.662680	-27.926590	-27.914028	-22.845718
unit	-22.332691	-18.395462	-18.642874	-25.989250	-18.358891	-22.939251	-22.614529	-20.770231	-11.187812	-15.348124	-12.228028	-28.219690	-10.992380	-1.356371	2.714755	-12.302883	-14.158570	-15.363554	9.931149	-11.881138	-23.813129	-5.674844	-13.831386	-18.413153	-7.491250	-20.706877	-1.856889	-17.099705	-17.588421	-6.164165	-22.856995	-24.218895	-24.921942	3.804489	-4.514746	-10.709523	-4.470986	1.222738	-12.001905	-16.178535	-24.635620	-20.940014	-25.848780	-19.809315
said	-17.719784	-14.657930	-18.109789	-18.214529	-19.327349	-14.362935	-16.822235	-20.957769	-17.723030	-11.733867	-19.303333	-20.088734	-11.933846	-10.474625	0.270334	-15.797354	-12.527332	-22.846401	-0.611050	-11.591558	-25.984896	-2.981230	-12.287453	-15.454349	-9.658371	-14.649201	-5.609433	-20.349052	-19.929544	-19.824360	-19.527708	-20.552608	-22.450844	-1.127735	10.748194	-12.173343	2.101142	-5.441310	-6.814225	-17.219669	-19.251764	-18.118980	-27.707041	-17.406939
it	-25.606739	-13.315058	-22.429504	-31.994942	-34.209148	-21.155321	-20.799685	-29.129353	-22.354908	-33.306458	-34.880306	-48.923149	-19.149361	-11.856248	-8.352482	-27.377878	-32.280369	-12.085593	4.702819	-5.849801	-26.360119	-14.161985	-35.839310	-15.094510	22.694427	0.772879	-16.502274	-31.804218	-25.694065	-29.225044	-12.991622	-15.107409	-30.929520	8.861280	5.197545	-19.637323	-2.365679	4.001588	-13.889557	-38.789711	-24.910313	-27.320524	-32.559399	-15.067435
signed	-25.902872	-15.671200	-23.870964	-20.868652	-21.933275	-27.082119	-24.101656	-25.314287	-29.487028	-7.205017	-36.025349	-18.782682	-12.852418	-21.387644	5.529089	-9.653571	-14.091725	-17.479639	-0.897288	-13.907187	-34.953812	-7.957417	-28.424513	-26.146099	-10.439901	-26.516970	-6.173327	-20.617233	-34.001961	-22.351421	-25.654961	-28.180489	-26.509327	0.581018	12.517067	-20.156073	11.650971	-4.236001	-12.574338	-32.778889	-27.795164	-24.504877	-24.965471	-19.435368
a	-21.878149	-22.545828	-40.465332	-36.270786	-30.117613	-25.695541	-22.722471	-27.951941	-24.546488	-23.405519	18.007370	-43.294102	-23.999247	-1.937693	-8.505281	-39.912838	-42.171585	-30.802462	1.455796	3.178380	-23.270683	-17.942492	-15.073001	-34.146095	-24.900953	-18.612539	-3.576360	-40.607132	-45.725773	-29.951599	-21.859814	-7.154668	-22.327703	-5.580286	-22.223473	-35.589832	-26.496115	-5.823032	-23.497601	-22.878332	-25.716221	-31.525875	-38.428101	-22.265236
tentative	-26.922380	-19.631716	-22.792427	-26.000530	-24.557785	-23.331675	-25.246859	-24.322596	-31.778473	-16.228603	-23.552114	-31.483801	-15.119826	-5.993459	8.250927	-22.972010	-15.416818	-32.033493	4.210333	-8.137001	-33.372044	-6.245816	-33.234173	-25.986721	-19.151560	-26.869102	0.329006	-25.448912	-14.672238	-14.791380	-21.091591	-25.103996	-24.574995	0.723899	-9.375889	-17.900692	-7.491704	-0.886852	-23.485331	-12.105520	-23.381580	-23.810812	-21.378918	-22.907721
